account_number,account_type,date,operation,amount,balance_after,status
ACC-100001,checking,2025-09-27 22:17:26,deposit,921.0,2121.0,success
ACC-100001,checking,2025-09-27 22:17:26,deposit,607.0,2728.0,success
ACC-100001,checking,2025-09-28 22:17:26,deposit,488.0,3216.0,success
ACC-100001,checking,28/09/2025 22:17,deposit,129.0,3345.0,success
ACC-100001,checking,2025-09-29 22:17:26,deposit,880.0,4225.0,success
ACC-100001,checking,2025-09-29 22:17:26,withdraw,,4039.0,success
ACC-100001,checking,2025-10-01 22:17:26,withdraw,352.0,3687.0,success
ACC-100001,checking,2025-10-01 22:17:26,withdraw,65.0,3622.0,success
ACC-100001,checking,2025-10-01 22:17:26,,654.0,4276.0,success
ACC-100001,checking,2025-10-01 22:17:26,withdraw,245.0,4031.0,success
ACC-100001,checking,2025-10-03 22:17:26,interest,532.0,4563.0,success
ACC-100001,checking,2025-10-05 22:17:26,deposit,327.0,4890.0,success
ACC-100001,checking,2025-10-06 22:17:26,withdraw,333.0,4557.0,success
ACC-100001,checking,2025-17-34 12:00:00,deposit,793.0,5350.0,success
ACC-100001,checking,06/10/2025 22:17,withdraw,198.0,5152.0,success
ACC-100001,checking,2025-10-06 22:17:26,diposit,669.0,5821.0,success
ACC-100001,checking,2025-10-08 22:17:26,interest,744.0,6565.0,success
ACC-100001,checking,2023-16-40 12:00:00,withdraw,111.0,6454.0,success
ACC-100001,checking,2025-10-12 22:17:26,deposit,838.0,7292.0,success
ACC-100001,checking,2025-10-14 22:17:26,deposit,532.0,7824.0,success
ACC-100001,checking,2025-10-16 22:17:26,withdraw,393.0,7431.0,success
ACC-100001,checking,2025-10-16 22:17:26,deposit,701.0,8132.0,success
ACC-100001,checking,2025-10-17 22:17:26,withdraw,308.0,7824.0,success
ACC-100001,checking,2025-10-18 22:17:26,deposit,135.0,7959.0,success
ACC-100001,checking,2025-10-19 22:17:26,deposit,916.0,8875.0,succes
ACC-100002,savings,2025-09-27 22:17:26,deposit,469.0,1969.0,success
ACC-100002,savings,2025-09-27 22:17:26,withdraw,392.0,1577.0,success
ACC-100002,savings,2025-09-28 22:17:26,deposit,317.0,1894.0,success
ACC-100002,savings,2023-22-32 12:00:00,deposit,797.0,2691.0,success
ACC-100002,savings,2025-09-30 22:17:26,interest,,2825.55,success
ACC-100002,savings,2025-10-02 22:17:26,deposit,840.0,3665.55,success
ACC-100002,savings,04/10/2025 22:17,interest,183.28,3848.83,success
ACC-100002,savings,2025-10-06 22:17:26,interest,192.44,4041.27,success
ACC-100002,savings,2025-10-08 22:17:26,deposit,-136.0,4177.27,success
ACC-100002,savings,2025-10-08 22:17:26,deposit,426.0,4603.27,success
ACC-100002,savings,09/10/2025 22:17,deposit,638.0,5241.27,success
ACC-100002,savings,2025-10-09 22:17:26,withdraw,170.0,5071.27,success
ACC-100002,savings,2025-10-09 22:17:26,diposit,432.0,5503.27,success
ACC-100002,savings,2025-10-09 22:17:26,deposit,622.0,6125.27,success
ACC-100002,savings,2025-10-10 22:17:26,interest,306.26,6431.53,success
ACC-100002,savings,2025-10-12 22:17:26,withdraw,278.0,6153.53,success
ACC-100002,savings,2025-10-13 22:17:26,withdraw,440.0,5713.53,success
ACC-100002,savings,2025-10-14 22:17:26,withdraw,231.0,5482.53,success
ACC-100002,savings,2025-10-15 22:17:26,interest,274.13,5756.66,success
ACC-100002,savings,2025-10-16 22:17:26,deposit,-872.0,6628.66,success
ACC-100002,savings,2025-10-17 22:17:26,withdraw,286.0,6342.66,success
ACC-100002,savings,2025-10-19 22:17:26,withdraw,300.0,6042.66,succes
ACC-100002,savings,2025-10-20 22:17:26,interest,302.13,6344.79,success
ACC-100002,savings,2025-10-22 22:17:26,wdraw,457.0,5887.79,success
ACC-100002,savings,2025-10-23 22:17:26,withdraw,282.0,5605.79,success
ACC-100003,checking,2025-10-02 22:17:26,deposit,233.0,1033.0,success
ACC-100003,checking,2025-10-03 22:17:26,interest,292.0,741.0,success
ACC-100003,checking,2025-10-05 22:17:26,deposit,720.0,1461.0,success
ACC-100003,checking,2025-10-05 22:17:26,interest,290.0,1171.0,success
ACC-100003,checking,2025-10-06 22:17:26,deposit,296.0,1467.0,success
ACC-100003,checking,2025-10-08 22:17:26,deposit,956.0,2423.0,success
ACC-100003,checking,2025-10-10 22:17:26,deposit,754.0,3177.0,success
ACC-100003,checking,2025-10-10 22:17:26,deposit,255.0,3432.0,success
ACC-100003,checking,2025-10-12 22:17:26,deposit,-115.0,3547.0,success
ACC-100003,checking,2025-10-14 22:17:26,withdraw,131.0,3416.0,success
ACC-100003,checking,2025-10-16 22:17:26,deposit,898.0,4314.0,success
ACC-100003,checking,2025-10-16 22:17:26,withdraw,187.0,4127.0,success
ACC-100003,checking,2025-10-17 22:17:26,deposit,999.0,5126.0,success
ACC-100003,checking,2025-10-18 22:17:26,withdraw,268.0,4858.0,success
ACC-100003,checking,2025-10-19 22:17:26,interest,345.0,4513.0,success
ACC-100003,checking,2025-10-20 22:17:26,withdraw,118.0,4395.0,success
ACC-100003,checking,2025-10-21 22:17:26,deposit,239.0,4634.0,success
ACC-100003,checking,2025-10-22 22:17:26,interest,788.0,5422.0,success
ACC-100003,checking,2025-10-23 22:17:26,wdraw,487.0,4935.0,success
ACC-100003,checking,2023-14-33 12:00:00,deposit,953.0,5888.0,success
ACC-100004,savings,2025-09-22 22:17:26,diposit,838.0,2838.0,success
ACC-100004,savings,2025-09-23 22:17:26,deposit,192.0,3030.0,success
ACC-100004,savings,2025-09-23 22:17:26,deposit,662.0,3692.0,success
ACC-100004,savings,2025-09-24 22:17:26,withdraw,441.0,3251.0,succes
ACC-100004,savings,2025-09-24 22:17:26,deposit,649.0,3900.0,success
ACC-100004,savings,2025-09-25 22:17:26,deposit,276.0,4176.0,success
